income_expenditure_difference,income,working_agency,total_expenses,type_of_residence,bank_product,total_income,loan_term,salary_allowance,number_of_products_in_use,casa_balance,customer_segment,marital_status,number_of_dependents,age,term_deposit_balance,educational_level,insurance,position,number_of_non_credit_products,housing,debt_repayment_source,work_tenure,bank_debt_balance,number_of_banks_with_outstanding_debt,loan_amount,expected_loan_interest,labor_contract,duration_of_relationship_with_the_bank,proposed_term,economic_sector,debt_group_information,overdue_history,result,event_timestamp,id
9100000.0,17500000.0,cq hanh chi su nghiep,8400000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,17500000.0,48.0,7500000.0,0,0.0,khach hang cap 1,da ket hon,2,36,0.0,dai hoc,khong co thong tin,loai hinh khac,5,o cung nguoi than khac,luong,96.0,190000000.0,0,190000000.0,5400000.0,"cong chuc, vien chuc",0,48.0,giao dich,khong co du no,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,51
10000000.0,14000000.0,cq hanh chi su nghiep,4000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,14000000.0,36.0,14000000.0,0,1908635.0,khach hang cap 1,da ket hon,1,39,0.0,dai hoc,bao hiem tai nan,chuyen vien,5,so huu toan bo,luong,180.0,100000000.0,0,100000000.0,0.0,"cong chuc, vien chuc",3,36.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,52
3340000.0,7940000.0,cq hanh chi su nghiep,4600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,7940000.0,12.0,7940000.0,0,2463310.0,khach hang cap 1,doc than,0,34,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,3,so huu toan bo,luong,132.0,60000000.0,1,60000000.0,500000.0,hop dong khong xac dinh thoi han,5,12.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,53
24400000.0,25000000.0,cq hanh chi su nghiep,600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,25000000.0,60.0,25000000.0,0,0.0,khach hang cap 2,doc than,0,49,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,luong,240.0,200000000.0,0,200000000.0,0.0,hop dong khong xac dinh thoi han,2,60.0,giao dich,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,54
10500000.0,14000000.0,cq hanh chi su nghiep,3500000.0,tam tru dai han,co tien gui thanh toan hoac sp khac,14000000.0,60.0,14000000.0,1,50091965.0,khach hang cap 2,doc than,0,50,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao cao cap,6,so huu toan bo,luong va nguon khac,300.0,250000000.0,0,250000000.0,0.0,"cong chuc, vien chuc",7,60.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,55
8765636.0,16665636.0,cq hanh chi su nghiep,7900000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,16665636.0,12.0,9665636.0,0,10000000.0,khach hang cap 1,da ket hon,1,50,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,7,so huu toan bo,luong,293.0,80000000.0,2,80000000.0,1600000.0,hop dong khong xac dinh thoi han,5,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,56
16805091.0,21805091.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui ky han,21805091.0,12.0,11805091.0,2,285373.0,khach hang cap 5,da ket hon,1,36,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong va nguon khac,190.0,30000000.0,0,30000000.0,0.0,"cong chuc, vien chuc",11,12.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,57
10285278.0,10285278.0,cq hanh chi su nghiep,0.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10285278.0,18.0,10285278.0,0,84357.0,khach hang cap 1,doc than,0,26,0.0,dai hoc,khong co thong tin,chuyen vien,0,so huu toan bo,luong,120.0,110000000.0,0,110000000.0,0.0,"cong chuc, vien chuc",0,18.0,van phong,khong co thong tin,khong co thong tin,A-,2024-04-19 18:29:54.409172+00:00,58
4800733.33,12850733.33,cq hanh chi su nghiep,8050000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,12850733.33,11.0,7850733.33,0,60546.0,khach hang cap 1,doc than,0,29,0.0,dai hoc,bao hiem khac,nhan vien,0,so huu toan bo,luong va nguon khac,60.0,30000000.0,1,30000000.0,0.0,"cong chuc, vien chuc",0,11.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,59
23238586.0,29538586.0,cq hanh chi su nghiep,6300000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,29538586.0,0.0,9538586.0,0,19431608.0,khach hang cap 1,da ket hon,0,42,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,luong va nguon khac,240.0,50000000.0,0,50000000.0,300000.0,"cong chuc, vien chuc",10,0.0,giao dich,khong co du no,khong co quan he tin dung,AAA,2024-04-19 18:29:54.409172+00:00,60
14349999.7,23000000.0,doanh nghiep tu nhan,8650000.3,tam tru dai han,co tien gui thanh toan hoac sp khac,23000000.0,0.0,23000000.0,0,52458.0,khach hang cap 1,doc than,1,32,0.0,dai hoc,bao hiem khac,nhan vien,5,thue,luong,90.0,20000000.0,1,20000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,tieu thuong,chi co no nhom 1,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,61
12783786.0,18105333.0,cq hanh chi su nghiep,5321547.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18105333.0,12.0,9105333.0,0,4815347.0,khach hang cap 1,da ket hon,0,33,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,6,so huu toan bo,luong va nguon khac,111.0,40000000.0,0,40000000.0,321547.0,"cong chuc, vien chuc",1,12.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,62
8000000.0,13000000.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,13000000.0,12.0,13000000.0,0,6766674.0,khach hang cap 1,doc than,0,48,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,2,so huu toan bo,luong,300.0,150000000.0,0,150000000.0,0.0,hop dong khong xac dinh thoi han,0,12.0,giao dich,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,63
7200000.0,29700000.0,cq hanh chi su nghiep,22500000.0,ho khau thuong tru,co tien gui ky han,29700000.0,0.0,29700000.0,0,15526758.0,khach hang cap 1,da ket hon,2,48,2800000000.0,tren dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,9,so huu toan bo,luong,240.0,100000000.0,1,100000000.0,6500000.0,hop dong khong xac dinh thoi han,0,0.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,64
36300000.0,42000000.0,cq hanh chi su nghiep,5700000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,42000000.0,12.0,12500000.0,1,2107514.0,khach hang cap 1,da ket hon,0,41,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,8,so huu toan bo,luong,204.0,100000000.0,0,100000000.0,200000.0,hop dong khong xac dinh thoi han,1,12.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,65
27883666.67,35283666.67,doanh nghiep nha nuoc duoi 50% von dieu le,7400000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,35283666.67,0.0,5283666.67,0,93661.0,khach hang cap 1,da ket hon,2,30,0.0,tren dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong va loi nhuan tu kinh doanh,60.0,50000000.0,1,50000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,66
4500000.0,6000000.0,cq hanh chi su nghiep,1500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,6000000.0,36.0,6000000.0,0,115000.0,khach hang cap 2,doc than,0,27,5000000.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong,72.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",5,36.0,giao dich,khong co du no,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,67
14000000.0,18000000.0,cq hanh chi su nghiep,4000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18000000.0,0.0,10000000.0,1,1433276.0,khach hang cap 1,doc than,0,37,0.0,dai hoc,bao hiem tai nan,chuyen vien,5,so huu toan bo,luong,120.0,20000000.0,0,20000000.0,0.0,"cong chuc, vien chuc",5,0.0,van phong,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,68
7350997.0,9350997.0,doanh nghiep nhan nuoc tren 50% von dieu le,2000000.0,ho khau thuong tru,da tung co tien gui thanh toan hoac sp khac 12 thang lien ke,9350997.0,0.0,9350997.0,0,1258543.0,khach hang cap 1,da ket hon,0,26,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,3,so huu toan bo,luong,38.0,50000000.0,0,50000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,AA+,2024-04-19 18:29:54.409172+00:00,69
4564363.0,14964363.0,cq hanh chi su nghiep,10400000.0,loai hinh khac,co tien gui thanh toan hoac sp khac,14964363.0,60.0,7964363.0,0,55673.0,khach hang cap 1,li di,2,41,0.0,dai hoc,khong co thong tin,nhan vien,4,so huu toan bo,luong va loi nhuan tu kinh doanh,120.0,180000000.0,0,180000000.0,4900000.0,"cong chuc, vien chuc",0,60.0,giao dich,khong co thong tin,khong co quan he tin dung,BBB,2024-04-19 18:29:54.409172+00:00,70
13901281.0,26517281.0,cq hanh chi su nghiep,12616000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,26517281.0,60.0,7517281.0,1,685673.0,khach hang cap 2,da ket hon,0,41,279265300.0,dai hoc,khong co thong tin,lanh dao phong,5,so huu 1 phan,luong va nguon khac,120.0,100000000.0,0,100000000.0,2616000.0,"cong chuc, vien chuc",8,60.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,71
2283969.0,7283969.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,7283969.0,24.0,7283969.0,1,28964530.0,khach hang cap 1,doc than,0,35,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,0,so huu toan bo,luong,120.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",0,24.0,y te,khong co du no,khong co quan he tin dung,AA+,2024-04-19 18:29:54.409172+00:00,72
46204000.0,52500000.0,cq hanh chi su nghiep,6296000.0,ho khau thuong tru,co tien gui ky han,52500000.0,12.0,22000000.0,1,175435066.0,khach hang cap 1,da ket hon,1,27,100000000.0,dai hoc,bao hiem tai nan,nhan vien,6,so huu toan bo,luong va nguon khac,181.0,35000000.0,0,35000000.0,296000.0,hop dong khong xac dinh thoi han,4,12.0,giao dich,khong co du no,da co quan he nhung chua tung qua han,AA+,2024-04-19 18:29:54.409172+00:00,73
7745210.0,18495210.0,cq hanh chi su nghiep,10750000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18495210.0,12.0,8495210.0,1,1247048.0,khach hang cap 1,da ket hon,0,44,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,4,so huu toan bo,luong va nguon khac,144.0,90000000.0,0,90000000.0,750000.0,"cong chuc, vien chuc",2,12.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,74
28356368.0,34956368.0,cq hanh chi su nghiep,6600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,34956368.0,0.0,4956368.0,0,181341.0,khach hang cap 2,da ket hon,0,35,0.0,dai hoc,bao hiem khac,chuyen vien,5,so huu toan bo,luong,120.0,10000000.0,0,10000000.0,1200000.0,"cong chuc, vien chuc",1,0.0,giao dich,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,75
10365000.0,16115000.0,cq hanh chi su nghiep,5750000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,16115000.0,60.0,16115000.0,2,6324138.0,khach hang cap 2,da ket hon,1,47,0.0,dai hoc,bao hien nhan tho,chuyen vien,7,so huu toan bo,luong va nguon khac,185.0,170000000.0,0,170000000.0,1750000.0,"cong chuc, vien chuc",10,60.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,76
15347059.0,22500000.0,cq hanh chi su nghiep,7152941.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,22500000.0,84.0,15000000.0,0,200000.0,khach hang cap 1,da ket hon,1,40,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,4,so huu toan bo,luong va nguon khac,252.0,200000000.0,0,200000000.0,4152941.0,"cong chuc, vien chuc",1,84.0,van phong,khong co du no,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,77
3800000.0,10300000.0,cq hanh chi su nghiep,6500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10300000.0,60.0,10300000.0,0,6479977.0,khach hang cap 1,da ket hon,0,29,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,o cung nguoi than khac,luong,96.0,150000000.0,1,150000000.0,500000.0,"cong chuc, vien chuc",0,60.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A,2024-04-19 18:29:54.409172+00:00,78
7800000.0,30800000.0,cq hanh chi su nghiep,23000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,30800000.0,60.0,13800000.0,0,18954644.0,khach hang cap 1,da ket hon,0,38,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,5,so huu toan bo,luong,192.0,240000000.0,0,240000000.0,15000000.0,"cong chuc, vien chuc",5,60.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,79
24098009.0,29098009.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,29098009.0,60.0,12098009.0,0,1455163.0,khach hang cap 1,doc than,0,46,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong va nguon khac,240.0,150000000.0,1,150000000.0,0.0,hop dong khong xac dinh thoi han,0,60.0,y te,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,80
7844989.0,12844989.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui ky han,12844989.0,24.0,12844989.0,1,15611630.0,khach hang cap 1,da ket hon,0,53,112983407.0,dai hoc,bao hiem tai nan,chuyen vien,3,so huu toan bo,luong,180.0,70000000.0,0,70000000.0,0.0,"cong chuc, vien chuc",5,24.0,van phong,khong co du no,khong co quan he tin dung,AAA,2024-04-19 18:29:54.409172+00:00,81
14139207.329999998,20713207.33,cq hanh chi su nghiep,6574000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,20713207.33,36.0,10713207.33,1,3194211.0,khach hang cap 1,da ket hon,0,54,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong,372.0,35000000.0,0,35000000.0,1374000.0,"cong chuc, vien chuc",4,36.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,82
10800000.0,17200000.0,cq hanh chi su nghiep,6400000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,17200000.0,60.0,10000000.0,1,10340920.0,khach hang cap 1,doc than,0,48,0.0,dai hoc,nhieu hon 1 loai bao hiem,lanh dao phong,5,so huu toan bo,hon hop,204.0,90000000.0,5,90000000.0,2400000.0,"cong chuc, vien chuc",9,60.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,83
21000000.0,27000000.0,cq hanh chi su nghiep,6000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,27000000.0,60.0,17000000.0,1,672751.0,khach hang cap 1,da ket hon,0,41,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,0,so huu toan bo,luong va nguon khac,180.0,200000000.0,0,200000000.0,0.0,"cong chuc, vien chuc",0,60.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,84
5825605.0,6895605.0,cq hanh chi su nghiep,1070000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,6895605.0,60.0,5895605.0,0,3579000.0,khach hang cap 1,doc than,0,24,0.01,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,3,so huu toan bo,luong va loi nhuan tu kinh doanh,21.0,40000000.0,0,40000000.0,0.0,hop dong tu 12 den 36 thang,0,60.0,giao dich,khong co thong tin,khong co thong tin,AA-,2024-04-19 18:29:54.409172+00:00,85
65000000.0,70000000.0,doanh nghiep tu nhan,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,70000000.0,12.0,20000000.0,0,50219.0,khach hang cap 1,doc than,0,31,0.0,dai hoc,khong co thong tin,nhan vien,4,so huu toan bo,luong va nguon khac,28.0,30000000.0,2,30000000.0,0.0,hop dong khong xac dinh thoi han,0,12.0,nganh khac,chi co no nhom 1,da co quan he nhung chua tung qua han,BB,2024-04-19 18:29:54.409172+00:00,86
13000000.0,20000000.0,cq hanh chi su nghiep,7000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,20000000.0,36.0,10000000.0,0,10607796.0,khach hang cap 1,da ket hon,2,34,88096173.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,0,so huu toan bo,luong va nguon khac,132.0,80000000.0,0,80000000.0,0.0,"cong chuc, vien chuc",0,36.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,87
10459223.0,21059223.0,cq hanh chi su nghiep,10600000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,21059223.0,60.0,11059223.0,0,169607.0,khach hang cap 1,da ket hon,0,41,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,hon hop,180.0,200000000.0,0,200000000.0,5600000.0,"cong chuc, vien chuc",9,60.0,giao dich,khong co du no,khong co quan he tin dung,AA-,2024-04-19 18:29:54.409172+00:00,88
2500000.0,10700000.0,cq hanh chi su nghiep,8200000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,10700000.0,12.0,10700000.0,0,2602659.0,khach hang cap 1,doc than,0,39,0.0,dai hoc,khong co thong tin,chuyen vien,5,so huu toan bo,luong,180.0,40000000.0,0,40000000.0,4100000.0,"cong chuc, vien chuc",3,12.0,y te,chi co no nhom 1,da co quan he nhung chua tung qua han,A+,2024-04-19 18:29:54.409172+00:00,89
170000000.0,200000000.0,doanh nghiep tu nhan,30000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,200000000.0,0.0,200000000.0,0,0.0,khach hang cap 1,doc than,0,32,0.0,dai hoc,bao hiem khac,lanh dao cao cap,5,so huu toan bo,luong,120.0,90000000.0,4,90000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,van phong,khong co du no,da co quan he nhung chua tung qua han,B,2024-04-19 18:29:54.409172+00:00,90
415733.0,6115733.0,cq hanh chi su nghiep,5700000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,6115733.0,36.0,6115733.0,0,557586.0,khach hang cap 1,da ket hon,0,34,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,4,so huu toan bo,luong,120.0,80000000.0,0,80000000.0,2600000.0,hop dong khong xac dinh thoi han,2,36.0,van phong,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,91
27000000.0,35000000.0,cq hanh chi su nghiep,8000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,35000000.0,40.0,20000000.0,0,10193498.0,khach hang cap 1,da ket hon,0,43,0.0,dai hoc,khong co thong tin,chuyen vien,4,so huu toan bo,luong va nguon khac,216.0,160000000.0,0,160000000.0,0.0,"cong chuc, vien chuc",0,40.0,giao dich,khong co du no,khong co quan he tin dung,AA,2024-04-19 18:29:54.409172+00:00,92
8550000.0,14650000.0,cq hanh chi su nghiep,6100000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,14650000.0,12.0,8150000.0,0,171439.0,khach hang cap 1,da ket hon,2,40,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,5,so huu toan bo,luong va nguon khac,144.0,40000000.0,0,40000000.0,2100000.0,"cong chuc, vien chuc",10,12.0,y te,khong co du no,da co quan he nhung chua tung qua han,AA,2024-04-19 18:29:54.409172+00:00,93
12119483.329999998,18119483.33,cq hanh chi su nghiep,6000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,18119483.33,60.0,10769483.33,0,1279600.0,khach hang cap 1,da ket hon,0,44,0.0,dai hoc,khong co thong tin,nhan vien,4,so huu toan bo,luong va nguon khac,240.0,120000000.0,0,120000000.0,0.0,hop dong khong xac dinh thoi han,6,60.0,giao dich,khong co du no,khong co quan he tin dung,AA,2024-04-19 18:29:54.409172+00:00,94
20700000.0,25700000.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,25700000.0,60.0,8700000.0,0,54893.0,khach hang cap 1,da ket hon,0,46,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,so huu toan bo,luong va nguon khac,240.0,150000000.0,2,150000000.0,0.0,"cong chuc, vien chuc",2,60.0,giao dich,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,95
3200000.0,5200000.0,cq hanh chi su nghiep,2000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,5200000.0,36.0,5200000.0,0,609656.0,khach hang cap 1,doc than,0,30,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,0,so huu toan bo,luong,72.0,50000000.0,0,50000000.0,0.0,"cong chuc, vien chuc",0,36.0,y te,khong co du no,da co quan he nhung chua tung qua han,AA-,2024-04-19 18:29:54.409172+00:00,96
7500000.0,15000000.0,loai hinh khac,7500000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,15000000.0,0.0,15000000.0,0,100000000.0,khach hang cap 1,doc than,0,31,50000000.0,dai hoc,bao hien nhan tho,chuyen vien,4,so huu toan bo,hon hop,48.0,50000000.0,1,50000000.0,0.0,"cong chuc, vien chuc",0,0.0,van phong,chi co no nhom 1,da co quan he nhung chua tung qua han,A-,2024-04-19 18:29:54.409172+00:00,97
5200000.0,8200000.0,doanh nghiep nha nuoc duoi 50% von dieu le,3000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,8200000.0,0.0,8200000.0,0,0.0,khach hang cap 1,da ket hon,0,28,0.0,dai hoc,nhieu hon 1 loai bao hiem,chuyen vien,4,o cung nguoi than khac,luong,36.0,10000000.0,1,10000000.0,0.0,hop dong khong xac dinh thoi han,0,0.0,van phong,khong co du no,da co quan he nhung chua tung qua han,BBB,2024-04-19 18:29:54.409172+00:00,98
48000000.0,53000000.0,cq hanh chi su nghiep,5000000.0,ho khau thuong tru,co tien gui thanh toan hoac sp khac,53000000.0,12.0,53000000.0,0,149181280.0,khach hang cap 1,doc than,0,47,0.0,dai hoc,nhieu hon 1 loai bao hiem,nhan vien,0,so huu toan bo,luong,300.0,200000000.0,0,200000000.0,0.0,"cong chuc, vien chuc",0,12.0,van phong,khong co du no,khong co quan he tin dung,AAA,2024-04-19 18:29:54.409172+00:00,99
